Location;FPC;Forecasted Date;Weeks;Final Fcst Qty
2621;83732410;2017-01-16;2017-01-22;2508,582
2621;83732410;2017-01-16;2017-01-29;1678,261
2621;83732410;2017-01-16;2017-02-05;2169,494
2621;83732410;2017-01-16;2017-02-12;609,952
2621;83732410;2017-01-16;2017-02-19;975,924
2621;83732410;2017-01-16;2017-02-26;1179,241
2621;83732410;2017-01-16;2017-03-05;1191,853
2621;83732410;2017-01-16;2017-03-12;785,218
2621;83732410;2017-01-16;2017-03-19;923,786
2621;83732410;2017-01-16;2017-03-26;1385,679
2621;83732410;2017-01-16;2017-04-02;1147,877
2621;83732410;2017-02-20;2017-02-26;1389,7
2621;83732410;2017-02-20;2017-03-05;1057,518
2621;83732410;2017-02-20;2017-03-12;544,579
2621;83732410;2017-02-20;2017-03-19;637,757
2621;83732410;2017-02-20;2017-03-26;948,218
2621;83732410;2017-02-20;2017-04-02;973,418
2621;83732410;2017-02-27;2017-03-05;536,458
2621;83732410;2017-02-27;2017-03-12;252,218
2621;83732410;2017-02-27;2017-03-19;618,157
2621;83732410;2017-02-27;2017-03-26;918,818
2621;83732410;2017-02-27;2017-04-02;949,898
2621;83732410;2017-03-20;2017-03-26;2508,582
2621;83732410;2017-03-20;2017-04-02;2508,582
2621;83732410;2017-03-27;2017-04-02;2508,582
