Location;FPC;Forecasted Date;Weeks;Final Fcst Qty
2621;83732410;2018-01-01;2018-01-07;1527,477173
2621;83732410;2018-01-01;2018-01-14;1267,940326
2621;83732410;2018-01-01;2018-01-21;1464,13352
2621;83732410;2018-01-01;2018-01-28;1207,760164
2621;83732410;2018-01-01;2018-02-04;2176,114746
2621;83732410;2018-01-01;2018-02-11;1591,011656
2621;83732410;2018-01-01;2018-02-18;1826,623283
2621;83732410;2018-01-01;2018-02-25;2082,705932
2621;83732410;2018-01-01;2018-03-04;1774,318321
2621;83732410;2018-01-01;2018-03-11;1344,668637
2621;83732410;2018-01-01;2018-03-18;1280,298666
2621;83732410;2018-01-01;2018-03-25;1895,397204
2621;83732410;2018-01-01;2018-04-01;1668,267593
2621;83732410;2018-01-01;2018-04-08;1079,165506
2621;83732410;2018-01-01;2018-04-15;1711,022663
2621;83732410;2018-01-01;2018-04-22;2031,970425
2621;83732410;2018-01-01;2018-04-29;1097,100241
2621;83732410;2018-01-01;2018-05-06;2019,331157
2621;83732410;2018-01-01;2018-05-13;1895,858417
2621;83732410;2018-01-01;2018-05-20;1839,904151
2621;83732410;2018-01-01;2018-05-27;1413,190389
2621;83732410;2018-01-01;2018-06-03;2095,198578
2621;83732410;2018-01-01;2018-06-10;1910,119136
2621;83732410;2018-01-01;2018-06-17;1736,864094
2621;83732410;2018-01-01;2018-06-24;1282,210756
2621;83732410;2018-01-01;2018-07-01;1954,070206
2621;83732410;2018-01-08;2018-01-14;1263,384613
2621;83732410;2018-01-08;2018-01-21;1998,945003
2621;83732410;2018-01-08;2018-01-28;1892,538834
2621;83732410;2018-01-08;2018-02-04;1320,737221
2621;83732410;2018-01-08;2018-02-11;1643,517245
2621;83732410;2018-01-08;2018-02-18;1756,311913
2621;83732410;2018-01-08;2018-02-25;1911,224116
2621;83732410;2018-01-08;2018-03-04;1217,306025
2621;83732410;2018-01-08;2018-03-11;1813,528885
2621;83732410;2018-01-08;2018-03-18;1320,349281
2621;83732410;2018-01-08;2018-03-25;1818,658379
2621;83732410;2018-01-08;2018-04-01;1002,248044
2621;83732410;2018-01-08;2018-04-08;1946,319623
2621;83732410;2018-01-08;2018-04-15;1528,964761
2621;83732410;2018-01-08;2018-04-22;1750,911319
2621;83732410;2018-01-08;2018-04-29;1986,831877
2621;83732410;2018-01-08;2018-05-06;1299,981268
2621;83732410;2018-01-08;2018-05-13;1234,63644
2621;83732410;2018-01-08;2018-05-20;1658,856099
2621;83732410;2018-01-08;2018-05-27;1910,759278
2621;83732410;2018-01-08;2018-06-03;1513,813942
2621;83732410;2018-01-08;2018-06-10;2135,519762
2621;83732410;2018-01-08;2018-06-17;1966,885222
2621;83732410;2018-01-08;2018-06-24;1184,655033
2621;83732410;2018-01-08;2018-07-01;1794,105644
2621;83732410;2018-01-15;2018-01-21;1426,358187
2621;83732410;2018-01-15;2018-01-28;1437,856501
2621;83732410;2018-01-15;2018-02-04;1773,477192
2621;83732410;2018-01-15;2018-02-11;2005,005635
2621;83732410;2018-01-15;2018-02-18;1737,512796
2621;83732410;2018-01-15;2018-02-25;1859,01073
2621;83732410;2018-01-15;2018-03-04;1771,567039
2621;83732410;2018-01-15;2018-03-11;1543,818002
2621;83732410;2018-01-15;2018-03-18;1548,965802
2621;83732410;2018-01-15;2018-03-25;1376,981815
2621;83732410;2018-01-15;2018-04-01;1353,323107
2621;83732410;2018-01-15;2018-04-08;1828,82601
2621;83732410;2018-01-15;2018-04-15;1189,561048
2621;83732410;2018-01-15;2018-04-22;1057,876728
2621;83732410;2018-01-15;2018-04-29;1605,596168
2621;83732410;2018-01-15;2018-05-06;2161,474947
2621;83732410;2018-01-15;2018-05-13;1779,248904
2621;83732410;2018-01-15;2018-05-20;1388,59613
2621;83732410;2018-01-15;2018-05-27;1142,318194
2621;83732410;2018-01-15;2018-06-03;2105,290436
2621;83732410;2018-01-15;2018-06-10;1099,450434
2621;83732410;2018-01-15;2018-06-17;1045,089105
2621;83732410;2018-01-15;2018-06-24;1381,967251
2621;83732410;2018-01-15;2018-07-01;1155,460609
2621;83732410;2018-01-22;2018-01-28;1774,949378
2621;83732410;2018-01-22;2018-02-04;2175,005545
2621;83732410;2018-01-22;2018-02-11;1039,395615
2621;83732410;2018-01-22;2018-02-18;1548,508444
2621;83732410;2018-01-22;2018-02-25;1649,742322
2621;83732410;2018-01-22;2018-03-04;1056,104026
2621;83732410;2018-01-22;2018-03-11;1242,385687
2621;83732410;2018-01-22;2018-03-18;1381,117722
2621;83732410;2018-01-22;2018-03-25;1819,163092
2621;83732410;2018-01-22;2018-04-01;2188,319416
2621;83732410;2018-01-22;2018-04-08;1669,88845
2621;83732410;2018-01-22;2018-04-15;2057,073778
2621;83732410;2018-01-22;2018-04-22;1062,678042
2621;83732410;2018-01-22;2018-04-29;1379,958898
2621;83732410;2018-01-22;2018-05-06;1644,860129
2621;83732410;2018-01-22;2018-05-13;1605,129745
2621;83732410;2018-01-22;2018-05-20;2015,142618
2621;83732410;2018-01-22;2018-05-27;1068,714519
2621;83732410;2018-01-22;2018-06-03;1385,091325
2621;83732410;2018-01-22;2018-06-10;1964,143444
2621;83732410;2018-01-22;2018-06-17;1029,89773
2621;83732410;2018-01-22;2018-06-24;1796,649204
2621;83732410;2018-01-22;2018-07-01;1876,534116
2621;83732410;2018-01-29;2018-02-04;1000,775657
2621;83732410;2018-01-29;2018-02-11;1766,822404
2621;83732410;2018-01-29;2018-02-18;1049,640453
2621;83732410;2018-01-29;2018-02-25;2197,70906
2621;83732410;2018-01-29;2018-03-04;1774,116642
2621;83732410;2018-01-29;2018-03-11;1829,900937
2621;83732410;2018-01-29;2018-03-18;2054,812169
2621;83732410;2018-01-29;2018-03-25;1396,428182
2621;83732410;2018-01-29;2018-04-01;1462,806256
2621;83732410;2018-01-29;2018-04-08;1994,930864
2621;83732410;2018-01-29;2018-04-15;2079,651591
2621;83732410;2018-01-29;2018-04-22;1123,646056
2621;83732410;2018-01-29;2018-04-29;1815,270141
2621;83732410;2018-01-29;2018-05-06;1718,033585
2621;83732410;2018-01-29;2018-05-13;1856,397053
2621;83732410;2018-01-29;2018-05-20;1283,881918
2621;83732410;2018-01-29;2018-05-27;1951,263763
2621;83732410;2018-01-29;2018-06-03;2028,783447
2621;83732410;2018-01-29;2018-06-10;1087,163935
2621;83732410;2018-01-29;2018-06-17;1548,971423
2621;83732410;2018-01-29;2018-06-24;1981,443899
2621;83732410;2018-01-29;2018-07-01;1740,562218
2621;83732410;2018-02-05;2018-02-11;1512,69267
2621;83732410;2018-02-05;2018-02-18;1213,937057
2621;83732410;2018-02-05;2018-02-25;1769,468199
2621;83732410;2018-02-05;2018-03-04;1584,787088
2621;83732410;2018-02-05;2018-03-11;1015,14349
2621;83732410;2018-02-05;2018-03-18;1478,811869
2621;83732410;2018-02-05;2018-03-25;1415,534315
2621;83732410;2018-02-05;2018-04-01;1582,360987
2621;83732410;2018-02-05;2018-04-08;1299,339361
2621;83732410;2018-02-05;2018-04-15;1766,066036
2621;83732410;2018-02-05;2018-04-22;1342,353915
2621;83732410;2018-02-05;2018-04-29;1222,696987
2621;83732410;2018-02-05;2018-05-06;1553,911581
2621;83732410;2018-02-05;2018-05-13;2023,236327
2621;83732410;2018-02-05;2018-05-20;1948,162714
2621;83732410;2018-02-05;2018-05-27;1986,019013
2621;83732410;2018-02-05;2018-06-03;1538,807255
2621;83732410;2018-02-05;2018-06-10;1865,428363
2621;83732410;2018-02-05;2018-06-17;1777,384633
2621;83732410;2018-02-05;2018-06-24;1132,401596
2621;83732410;2018-02-05;2018-07-01;1784,574266
2621;83732410;2018-02-12;2018-02-18;1202,055336
2621;83732410;2018-02-12;2018-02-25;1964,937839
2621;83732410;2018-02-12;2018-03-04;1468,337373
2621;83732410;2018-02-12;2018-03-11;1505,261487
2621;83732410;2018-02-12;2018-03-18;1653,902392
2621;83732410;2018-02-12;2018-03-25;1079,311023
2621;83732410;2018-02-12;2018-04-01;1128,927633
2621;83732410;2018-02-12;2018-04-08;1645,732741
2621;83732410;2018-02-12;2018-04-15;1376,574614
2621;83732410;2018-02-12;2018-04-22;1200,920265
2621;83732410;2018-02-12;2018-04-29;2182,083419
2621;83732410;2018-02-12;2018-05-06;1548,150117
2621;83732410;2018-02-12;2018-05-13;1450,952107
2621;83732410;2018-02-12;2018-05-20;1258,097657
2621;83732410;2018-02-12;2018-05-27;1673,194553
2621;83732410;2018-02-12;2018-06-03;1182,56928
2621;83732410;2018-02-12;2018-06-10;2096,51842
2621;83732410;2018-02-12;2018-06-17;1292,869004
2621;83732410;2018-02-12;2018-06-24;1648,112172
2621;83732410;2018-02-12;2018-07-01;1939,276895
2621;83732410;2018-02-19;2018-02-25;1304,090726
2621;83732410;2018-02-19;2018-03-04;1589,744986
