Location;Locationfrom;GCAS;Description;UOM;Type;Procurement;Safety Strategy;Safety;Rounding Value
2751;4853;83732586;ORK ULT LW 12x14 VP FC01 CRA            ;CS;FERT;P;SS;0;108
4853;4853;83732586;ORK ULT LW 12x14 VP FC01 CRA            ;CS;FERT;P;SS;0;108
2621;2751;83732586;ORK ULT LW 12x14 VP FC01 CRA            ;CS;FERT;F;SS;1000;108
2621;2751;83732587;ORK ULT LW 12x26 QP FC01 CRA            ;CS;FERT;F;SS;1000;54
4853;4853;83732587;ORK ULT LW 12x26 QP FC01 CRA            ;CS;FERT;P;SS;0;54
2751;4853;83732587;ORK ULT LW 12x26 QP FC01 CRA            ;CS;FERT;P;SS;0;54
2727;2621;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;F;SS;0;0
2751;4853;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;P;SS;0;72
4853;4853;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;0;99
2621;2751;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;1000;99
2727;2621;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;0;0
2751;4853;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;0;99
4853;4853;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;P;SS;0;99
2621;2751;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;F;SS;1000;99
2727;2621;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;F;SS;0;0
2751;4853;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;P;SS;0;99
2621;2751;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;P;SS;1000;72
4853;4853;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;P;SS;0;72
2621;2751;83732589;ORK ULT NW 12x24 QP FC01 CRA            ;CS;FERT;P;SS;1000;54
2751;4853;83732589;ORK ULT NW 12x24 QP FC01 CRA            ;CS;FERT;P;SS;0;54
4853;4853;83732589;ORK ULT NW 12x24 QP FC01 CRA            ;CS;FERT;P;SS;0;54
4850;4853;83732589;ORK ULT NW 12x24 QP FC01 CRA            ;CS;FERT;F;SS;0;54
4853;4853;83732590;ORK ULT NW 12x30 GP FC01 CRA            ;CS;FERT;P;SS;0;42
2621;2751;83732590;ORK ULT NW 12x30 GP FC01 CRA            ;CS;FERT;F;SS;1000;42
2727;2621;83732590;ORK ULT NW 12x30 GP FC01 CRA            ;CS;FERT;F;SS;0;0
2751;4853;83732590;ORK ULT NW 12x30 GP FC01 CRA            ;CS;FERT;P;SS;0;42
2621;2751;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;F;SS;1000;108
2751;4853;83732410;ORK ULT RW 24x8 SP FC01 CRA             ;CS;FERT;P;SS;0;108
2621;2751;83732410;ORK ULT RW 24x8 SP FC01 CRA             ;CS;FERT;F;SS;1000;108
4853;4853;83732410;ORK ULT RW 24x8 SP FC01 CRA             ;CS;FERT;P;SS;0;108
2727;2621;83732410;ORK ULT RW 24x8 SP FC01 CRA             ;CS;FERT;F;SS;0;0
2727;2621;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;0;0
2751;4853;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;0;72
4853;4853;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;0;72
2621;2751;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;1000;72
4853;4853;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;P;SS;0;81
2751;4853;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;F;SS;0;81
2621;2751;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;F;SS;1000;81
2727;2621;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;F;SS;0;0
2621;2751;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;P;SS;1000;54
2727;2621;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;F;SS;0;0
4850;4853;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;F;SS;0;54
2751;4853;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;F;SS;0;54
4853;4853;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;P;SS;0;54
2621;2751;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;P;SS;1000;54
4850;4853;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;F;SS;0;54
2751;4853;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;P;SS;0;54
4853;4853;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;P;SS;0;54
2727;2621;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;F;SS;0;0
2727;2621;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;F;SS;0;0
4853;4853;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;P;SS;0;108
2751;4853;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;P;SS;0;108
