Location-To;Location-From;GCAS;Description;UOM;Type;Procurement;Safety Strategy;Safety;Rounding Value
2751;4853;83732586;ORK ULT LW 12x14 VP FC01 CRA            ;CS;FERT;P;SS;1000;108
4853;4853;83732586;ORK ULT LW 12x14 VP FC01 CRA            ;CS;FERT;P;SS;1000;108
2621;2751;83732586;ORK ULT LW 12x14 VP FC01 CRA            ;CS;FERT;F;SS;1000;108
2727;#N/D!;83732547;Orkid Ultra Extra SRP v2                ;CS;FERT;P;SS;1000;0
2621;2727;83732547;Orkid Ultra Extra SRP v2                ;CS;FERT;P;SS;1000;0
2621;2751;83732587;ORK ULT LW 12x26 QP FC01 CRA            ;CS;FERT;F;SS;1000;54
4853;4853;83732587;ORK ULT LW 12x26 QP FC01 CRA            ;CS;FERT;P;SS;1000;54
2751;4853;83732587;ORK ULT LW 12x26 QP FC01 CRA            ;CS;FERT;P;SS;1000;54
2727;2621;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;F;SS;1000;0
2751;4853;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;P;SS;1000;72
2727;#N/D!;83732462;Orkid Ultra Extra RW QP + NW QP 2       ;CS;FERT;P;SS;1000;40
2621;2727;83732462;Orkid Ultra Extra RW QP + NW QP 2       ;CS;FERT;F;SS;1000;0
4853;4853;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;1000;99
2621;2751;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;1000;99
2727;2621;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;1000;0
2751;4853;83732420;ORK ULT NW 12x12 VP  FC01 CRA           ;CS;FERT;P;SS;1000;99
4853;4853;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;P;SS;1000;99
2621;2751;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;F;SS;1000;99
2727;2621;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;F;SS;1000;0
2751;4853;83732419;ORK ULT NW 24x6 SP  FC01 CRA            ;CS;FERT;P;SS;1000;99
2621;2751;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;P;SS;1000;72
4853;4853;83732588;ORK ULT LW 8x34 GP FC01 CRA             ;CS;FERT;P;SS;1000;72
