Location;Product;Date;Customer;Quantity
2621;83732410;2018-01-01;ADNAN ANTEP;103,68
2621;83732410;2018-01-02;ADNAN TIC.PAZ. AS-MALATYA;71,04
2621;83732410;2018-01-03;ADNAN TIC.PAZ. AS-MERSIN;540
2621;83732410;2018-01-04;AYKANLAR IZMIR YENI;108,48
2621;83732410;2018-01-05;AYKANLAR KOZMETIK TICARET VE P;34,56
2621;83732410;2018-01-06;AYKANLAR-HPK;540
2621;83732410;2018-01-07;AYKANLAR-OZM;192
2621;83732410;2018-01-08;CARREFOUR A.S.(ANTALYA).DEPO-1;180
2621;83732410;2018-01-09;CARREFOUR A.S.(GEBZE).DEPO-1;384
2621;83732410;2018-01-10;ECZACIBASI-HAKAN LOJISTIK;263,04
2621;83732410;2018-01-11;HEDEF GIDA PZ. DAG SAN VE TIC;77,76
2621;83732410;2018-01-12;HEDEF GIDA PZ. DAG SAN VE TIC;420
2621;83732410;2018-01-13;HEDEF HADIMKOY;259,2
2621;83732410;2018-01-14;HEDEF-CAGRI SANCAKTEPE;373,2
2621;83732410;2018-01-15;MAKRO MARKET A.S. # UYUM (ISTA;19,2
2621;83732410;2018-01-16;MAKRO MARKET A.S.(KAYSERI);600
2621;83732410;2018-01-17;MAKRO MARKET A.S.(SAMSUN);254,4
2621;83732410;2018-01-18;METRO GROS. B.KOY.ALIS.HIZ.TIC;475,2
2621;83732410;2018-01-19;MIGROS A.S.-(GEBZE MERKEZ XDOC;109,44
2621;83732410;2018-01-20;MIGROS A.S.-(SARAY ANKARA);147,6
2621;83732410;2018-01-21;MIGROS ANTALYA SERIK DEPO;130,8
2621;83732410;2018-01-22;MIGROS AS-(PINARBASI) (TANSAS);64,32
2621;83732410;2018-01-23;MIGROS ERZURUM DEPO;547,2
2621;83732410;2018-01-24;MIGROS ESENYURT DAG.MERK.;44,16
2621;83732410;2018-01-25;MIGROS MUGLA MERKEZ DEPO;336
2621;83732410;2018-01-26;MIGROS T.A.S.-ADANA;384
2621;83732410;2018-01-27;OZGUN GIDA KOZMETIK VE DAG. AS;118,08
2621;83732410;2018-01-28;OZGUN GIDA SN. AS.-2-KAYSERI;93,12
2621;83732410;2018-01-29;OZGUN GIDA SN. AS.-ZONGULDAK;76,8
2621;83732410;2018-01-30;OZGUN KOZM. GIDA SAN AS.-ANKAR;103,68
2621;83732410;2018-01-31;OZGUN KOZM. GIDA SAN. AS.-SAMS;103,68
2621;83732410;2018-02-01;SECKIN ONUR PAZ.SN.TIC.AS-BURS;414,72
2621;83732410;2018-02-02;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;103,68
2621;83732410;2018-02-03;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;584,4
2621;83732410;2018-02-04;SOK ANTALYA DAGITIM MERKEZI;253,2
2621;83732410;2018-02-05;SUMER LOGISTIK SAN TIC. AS-ERZ;15,6
2621;83732410;2018-02-06;TESCO KIPA KITLE PAZARLAMA TIC;34,56
2621;83732410;2018-02-07;YONTEM KOZMETIK ANONIM SIRKETI;1320
2621;83732410;2018-02-08;ADNAN TIC.PAZ. AS-MALATYA;28,8
2621;83732410;2018-02-09;ADNAN TIC.PAZ. AS-MERSIN;384
2621;83732410;2018-02-10;AYKANLAR IZMIR YENI;253,2
2621;83732410;2018-02-11;AYKANLAR KOZMETIK TICARET VE P;63,36
2621;83732410;2018-02-12;AYKANLAR-HPK;190,8
2621;83732410;2018-02-13;BIZIM TOPTAN # ERZURUM DEPO;903,6
2621;83732410;2018-02-14;BIZIM TOPTAN # IZMIR DEPO;103,68
2621;83732410;2018-02-15;BTT ADANA YENI DEPO;103,68
2621;83732410;2018-02-16;CARREFOUR A.S.(ANKARA).DEPO-1;149,76
2621;83732410;2018-02-17;CARREFOUR A.S.(GEBZE).DEPO-1;25,92
2621;83732410;2018-02-18;ECZACIBASI-HAKAN LOJISTIK;519,36
2621;83732410;2018-02-19;HEDEF GIDA PZ. DAG SAN VE TIC;216
2621;83732410;2018-02-20;HEDEF GIDA PZ. DAG SAN VE TIC;336
2621;83732410;2018-02-21;HEDEF HADIMKOY;80,64
2621;83732410;2018-02-22;MAKRO MARKET A.S. # UYUM (ISTA;804
2621;83732410;2018-02-23;MAKRO MARKET A.S. (ANKARA);151,2
2621;83732410;2018-02-24;MAKRO MARKET A.S.(KAYSERI);178,8
2621;83732410;2018-02-25;MAKRO MARKET A.S.(SAMSUN);4,8
2621;83732410;2018-02-26;METRO GROS. B.KOY.ALIS.HIZ.TIC;498
2621;83732410;2018-02-27;MIGROS A.S.-(GEBZE MERKEZ XDOC;65,28
2621;83732410;2018-02-28;MIGROS A.S.-(SARAY ANKARA);40,32
2621;83732410;2018-03-01;MIGROS AS-(PINARBASI) (TANSAS);54,72
2621;83732410;2018-03-02;MIGROS ERZURUM DEPO;144
2621;83732410;2018-03-03;MIGROS ESENYURT DAG.MERK.;816
2621;83732410;2018-03-04;MIGROS MUGLA MERKEZ DEPO;144
2621;83732410;2018-03-05;MIGROS T.A.S.-ADANA;9,6
2621;83732410;2018-03-06;OZGUN GIDA KOZMETIK VE DAG. AS;200,64
2621;83732410;2018-03-07;OZGUN GIDA SN. AS.-2-KAYSERI;205,44
2621;83732410;2018-03-08;OZGUN GIDA SN. AS.-ZONGULDAK;166,08
2621;83732410;2018-03-09;OZGUN KOZM. GIDA SAN AS.-ANKAR;311,04
2621;83732410;2018-03-10;OZGUN KOZM. GIDA SAN. AS.-SAMS;72,96
2621;83732410;2018-03-11;SECKIN ONUR PAZ.SN.TIC.AS-BURS;725,76
2621;83732410;2018-03-12;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;311,04
2621;83732410;2018-03-13;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;207,36
2621;83732410;2018-03-14;SOK ANTALYA DAGITIM MERKEZI;46,08
2621;83732410;2018-03-15;SUMER LOGISTIK SAN TIC. AS-ERZ;309,6
2621;83732410;2018-03-16;SUMER LOGISTIK SAN TIC. AS-VAN;3,84
2621;83732410;2018-03-17;TESCO KIPA KITLE PAZARLAMA TIC;54,72
2621;83732410;2018-03-18;YONTEM KOZMETIK ANONIM SIRKETI;1028,4
2621;83732410;2018-03-19;ADNAN ANTEP;106,8
2621;83732410;2018-03-20;ADNAN TIC.PAZ. AS-MALATYA;422,4
2621;83732410;2018-03-21;ADNAN TIC.PAZ. AS-MERSIN;480
2621;83732410;2018-03-22;AYKANLAR IZMIR YENI;207,36
2621;83732410;2018-03-23;AYKANLAR KOZMETIK TICARET VE P;103,68
2621;83732410;2018-03-24;AYKANLAR OZMUMCU KEMALPASA;192
2621;83732410;2018-03-25;AYKANLAR-HPK;190,8
2621;83732410;2018-03-26;BIZIM TOPTAN # ERZURUM DEPO;103,68
2621;83732410;2018-03-27;BIZIM TOPTAN # IZMIR DEPO;103,68
2621;83732410;2018-03-28;BIZIM TOPTAN GEBZE YENI DEPO;103,68
2621;83732410;2018-03-29;CARREFOUR A.S.(ANTALYA).DEPO-1;4,8
2621;83732410;2018-03-30;CARREFOUR A.S.(GEBZE).DEPO-1;42,24
2621;83732410;2018-03-31;ECZACIBASI-HAKAN LOJISTIK;1245,12
2621;83732410;2018-04-01;HEDEF GIDA PZ. DAG SAN VE TIC;24
2621;83732410;2018-04-02;HEDEF HADIMKOY;207,36
2621;83732410;2018-04-03;MAKRO MARKET A.S. # UYUM (ISTA;12,48
2621;83732410;2018-04-04;MAKRO MARKET A.S. (ANKARA);22,08
2621;83732410;2018-04-05;MAKRO MARKET A.S.(KAYSERI);176,4
2621;83732410;2018-04-06;MAKRO MARKET A.S.(SAMSUN);810
2621;83732410;2018-04-07;METRO GROS. B.KOY.ALIS.HIZ.TIC;47,04
2621;83732410;2018-04-08;MIGROS A.S.-(GEBZE MERKEZ XDOC;440,4
2621;83732410;2018-04-09;MIGROS A.S.-(SARAY ANKARA);56,64
2621;83732410;2018-04-10;MIGROS ANTALYA SERIK DEPO;120
2621;83732410;2018-04-11;MIGROS AS-(PINARBASI) (TANSAS);62,4
2621;83732410;2018-04-12;MIGROS ERZURUM DEPO;504
2621;83732410;2018-04-13;MIGROS ESENYURT DAG.MERK.;550,8
2621;83732410;2018-04-14;MIGROS MUGLA MERKEZ DEPO;420
2621;83732410;2018-04-15;MIGROS T.A.S.-ADANA;18,24
2621;83732410;2018-04-16;OZGUN GIDA SN. AS.-2-KAYSERI;18,24
2621;83732410;2018-04-17;SOK ANTALYA DAGITIM MERKEZI;92,16
2621;83732410;2018-04-18;SUMER LOGISTIK SAN TIC. AS-ERZ;428,4
2621;83732410;2018-04-19;SUMER LOGISTIK SAN TIC. AS-VAN;15,6
2621;83732410;2018-04-20;SUMER LOJISTIK SAN.TC.AS-MARDI;528
2621;83732410;2018-04-21;TESCO KIPA KITLE PAZARLAMA TIC;309,6
2621;83732410;2018-04-22;ADNAN ANTEP;672
2621;83732410;2018-04-23;ADNAN TIC.PAZ. AS-MALATYA;192
2621;83732410;2018-04-24;ADNAN TIC.PAZ. AS-MERSIN;584,4
2621;83732410;2018-04-25;AYKANLAR GD SN TIC.AS-KONYA;103,68
2621;83732410;2018-04-26;AYKANLAR IZMIR YENI;207,36
2621;83732410;2018-04-27;AYKANLAR-HPK;493,2
2621;83732410;2018-04-28;CARREFOUR A.S.(ANKARA).DEPO-1;252
2621;83732410;2018-04-29;CARREFOUR A.S.(ANTALYA).DEPO-1;309,6
2621;83732410;2018-04-30;CARREFOUR A.S.(GEBZE).DEPO-1;31,68
2621;83732410;2018-05-01;ECZACIBASI-HAKAN LOJISTIK;1426,56
2621;83732410;2018-05-02;HEDEF GIDA PZ. DAG SAN VE TIC;84,48
2621;83732410;2018-05-03;HEDEF GIDA PZ. DAG SAN VE TIC;24
2621;83732410;2018-05-04;HEDEF HADIMKOY;537,6
2621;83732410;2018-05-05;MAKRO MARKET A.S. # UYUM (ISTA;19,2
2621;83732410;2018-05-06;MAKRO MARKET A.S. (KONYA);12,48
