Location;Product;Date;Customer;Quantity
2621;83714619;20170101;ADNAN ANTEP;259,2
2621;83714619;20170101;ADNAN TIC.PAZ. AS-MALATYA;43,2
2621;83714619;20170101;AYKANLAR GD SN TIC.AS-KONYA;216
2621;83714619;20170101;AYKANLAR IZMIR YENI;129,6
2621;83714619;20170101;AYKANLAR-OZM;480
2621;83714619;20170101;ECZACIBASI-HAKAN LOJISTIK;20,4
2621;83714619;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;49,2
2621;83714619;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;10,8
2621;83714619;20170101;HEDEF HADIMKOY;50,4
2621;83714619;20170101;MAKRO MARKET A.S. (ANKARA);12
2621;83714619;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;198
2621;83714619;20170101;MIGROS A.S.-(GEBZE MERKEZ XDOC;7,2
2621;83714619;20170101;MIGROS A.S.-(SARAY ANKARA);14,4
2621;83714619;20170101;MIGROS ANTALYA SERIK DEPO;6
2621;83714619;20170101;MIGROS AS-(PINARBASI) (TANSAS);12
2621;83714619;20170101;MIGROS ERZURUM DEPO;8,4
2621;83714619;20170101;MIGROS ESENYURT DAG.MERK.;6
2621;83714619;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;216
2621;83714619;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;21,6
2621;83714619;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;216
2621;83714619;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;28,8
2621;83714619;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;172,8
2621;83714619;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;86,4
2621;83714619;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;28,8
2621;83714619;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;84
2621;83714619;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;184,8
2621;83714619;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;345,6
2621;83714619;20170101;YONTEM KOZMETIK ANONIM SIRKETI;86,4
2621;83714621;20170101;ADNAN ANTEP;624
2621;83714621;20170101;ADNAN TIC.PAZ. AS-MALATYA;192
2621;83714621;20170101;AYKANLAR GD SN TIC.AS-KONYA;48
2621;83714621;20170101;AYKANLAR IZMIR YENI;96
2621;83714621;20170101;AYKANLAR KOZMETIK TICARET VE P;48
2621;83714621;20170101;AYKANLAR-ADESE ANKARA;14,4
2621;83714621;20170101;CARREFOUR A.S.(ADANA).DEPO-1;9,6
2621;83714621;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;160
2621;83714621;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;4,8
2621;83714621;20170101;HEDEF HADIMKOY;128
2621;83714621;20170101;HEDEF-CAGRI SANCAKTEPE;320
2621;83714621;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;377,6
2621;83714621;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;384
2621;83714621;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;9,6
2621;83714621;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;673,6
2621;83714621;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;134,4
2621;83714621;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;144
2621;83714621;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;96
2621;83714621;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;9,6
2621;83714621;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;192
2621;83714621;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;336
2621;83714621;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;528
2621;83714621;20170101;TESCO KIPA KITLE PAZARLAMA TIC;67,2
