Material;SUFactor
83710908;1,6
83710910;1,4
83712871;2
83712878;1,4
83712888;2
83714619;1,2
83714621;1,6
83714622;1
83714624;1,3333
83715807;1,4
83715808;1,3333
83715809;2
83715812;1,6
83715813;0,7
83715814;0,9
83715815;0,9333
83715816;1,4
83715818;1,3
83715824;1,3
83715825;1,3333
83715826;2
83715829;1,6
83715831;0,9333
83715832;1,4
83715835;1,3333
83715836;2
83715839;1,6
83716189;1
83716190;2,5
83716627;0,675
83716891;1,1111
83716892;1
83717129;1
83718084;1
83718930;1,6333
83719100;1,2
83719101;1,7
83719105;1,3
83719107;0,7
83719108;0,8
83719109;1,2
83719146;1,4
83719148;2
83719151;1,6
83719153;0,9
83719154;0,9333
83719155;1,4
83719156;0,9
83719157;1,3
83719159;1,8
83719160;0,525
83719162;1,4
83721255;1,8
83721256;0,9
83721257;1,4
83721258;0,9333
83721259;1,2
83721260;0,8
83721682;1
83721683;1,6667
83721684;2,5
83721685;1
83721686;2,5
83721687;1
83721688;2,5
83721689;1,6667
83721691;1,6667
83721692;1,1111
83721693;1
83721694;1,1111
83721695;0,6222
83721697;0,9333
83721699;1,1111
83721936;1
83721937;1,2
83721938;1,7
83721939;0,8
83721940;0,9334
83721941;1,3
83721942;0,7
83721943;0,8
83721944;1,2
83722079;1,3
83722215;0,9333
83722216;1,2
83722217;1
83722681;0,6667
83722682;1,4
83722683;1,3333
83722684;2
83722685;0,8
83722686;1,0667
83722687;1,6
83722688;0,7
83722689;0,9
83722690;0,9333
83722691;1,4
83722692;0,9
83722693;1,3
83722694;1,8
83722695;0,525
83722696;1,4
83722706;1,5
83722707;1,2
83723120;1,0667
83723121;0,8
83723175;1,6667
83723176;1,6667
83723200;0,5
83723201;0,5
83723766;3,75
83723905;0,6667
83723906;1,4
83723907;1,3333
83723908;2
83723909;1,0667
83723910;1,6
83723911;0,9
83723912;1,8
83723913;1,3
83723914;1
83723915;1
83723916;0,6667
83723917;1,4
83723918;1,3333
83723919;2
83723920;0,8
83723921;1,0667
83723922;1,6
83723923;0,7
83723924;0,9333
83723925;1,4
83723926;0,9
83723927;1,3
83723928;1,8
83723929;0,525
83723930;1,4
83723931;1,5
83723932;1,2
83724100;1,1111
83724101;0,6222
83724102;0,9333
83724229;0,7
83724231;0,75
83724232;1,1
83724242;1
83724243;1,6667
83724244;2,5
83724574;1,6667
83725194;1,5
83725195;2,5
83725196;1,2
83725197;2
83725198;1
83725199;1,8
83725200;1,8
83725201;2
83725202;1,4
83725203;1,6
83725204;1,4
83725564;0,6667
83725565;1,4
83725566;1,3333
83725568;0,9
83725569;1,3
83725570;0,8
83725571;1,0667
83725572;0,525
83725573;0,7
83725574;1
83725575;0,9333
83725576;0,8
83725577;0,9333
83725731;1,7
83725734;1,3
83725736;1,2
83725738;1,95
83725741;2,2
83725742;1
83725743;1,1333
83725744;0,9
83725745;1,5
83726337;0,6667
83726350;1,4
83726351;1,3333
83726352;0,9
83726354;0,8
83726355;1,0667
83726356;0,525
83726357;0,7
83726358;1
83726359;1
83726360;0,9333
83726376;0,6667
83726377;1,4
83726379;1,3333
83726380;1,0667
83726381;0,9
83726475;0,75
83726557;1,6667
83726559;1,45
83726809;1,4
83726810;2,4
83726812;1,7
83726813;1,8
83726814;1,8
83726815;1,3
83726816;1,5
83726817;1,1
83726819;1,9
83726820;1,7
83726821;1,3
83726823;0,8
83727536;1,6667
83727709;0,6667
83727710;0,6667
83727866;1
83727867;1,3
83727868;1,2
83727869;1,95
83727870;1,7
83727871;2,2
83727872;0,8
83727873;0,9334
83727874;1
83727875;1,3
83727876;1,1333
83727877;0,7
83727878;0,8
83727879;0,9
83727880;1,2
83727881;1,5
83727882;0,7
83727883;0,75
83727884;0,8
83727885;1,1
83727886;0,9333
83728234;1
83728235;1,6667
83728236;2,5
83728237;1,1111
83728238;1
83728239;1,1111
83728240;0,6222
83728241;1
83728242;1,6667
83728243;2,5
83728244;1
83728245;1,6667
83728246;2,5
83728357;1
83728358;1,4
83728400;1,5667
83728401;1,4167
83728402;1,3167
83728403;1,5334
83728404;1,55
83728405;1,6444
83728406;1,4444
83728407;1,3111
83728408;1,1111
83728409;0,9778
83728410;0,9111
83728411;6,9999
83728562;1,4222
83728564;0,9
83728565;0,9333
83728566;0,7556
83728567;1,1111
83728568;0,7778
83728569;0,7111
83728583;1,1111
83728719;1,4
83728720;2,4
83728721;1,7
83728722;1,8
83728723;0,6667
83728724;1,4
83728725;1,3333
83728727;1,3
83728728;1,5
83728729;1,1
83728730;1,9
83728731;0,8
83728732;1,0667
83728734;0,7
83728735;1
83728736;1
83728737;1,7
83728738;1,3
83728739;0,9333
83728740;0,6667
83728741;1,4
83728742;1,3333
83728743;1,8
83728744;0,8
83728745;1,0667
83729511;0,5
83729512;0,5
83729611;1,575
83729612;1,3
83729713;2,4875
83729954;1,6667
83730220;0,7
83730221;0,75
83730222;0,8
83730223;0,8
83730305;4,8639
83730314;1,0333
83730317;1,3666
83730565;1
83730566;1,4
83730658;1,6667
83730913;1,6
83730914;1,2
83730915;1,1
83730971;4,8639
83731213;2,4
83731214;1,7
83731215;1,3
83731216;1,5
83731218;1,9
83731219;1,7
83731220;1,3
83731221;0,7
83731222;0,9333
83731223;1
83731257;1,8
83731280;0,75
83731281;0,8
83731282;0,8
83731307;1,0667
83731510;0,5
83731511;0,5
83731520;1
83731521;1,6667
83731522;2,5
83731523;0,9
83731524;0,9
83731526;0,7556
83731527;1,1111
83731528;1
83731529;1,1111
83731530;1,1111
83731531;0,6222
83731532;0,7111
83731533;1,1111
83731535;1
83731536;1,6667
83731537;2,5
83731538;1
83731539;1,6667
83731540;2,5
83731541;0,7778
83731767;2,3
83731768;1,7
83731769;0,9
83731770;1,3
83731772;1,8
83731773;0,9333
83731774;1,6
83731775;1,2
83731776;0,8
83731777;0,75
83731778;1,1
83731786;1,6
83731787;2,3
83731788;1,7
83731789;0,9
83731790;1,3
83731791;1,2
83731792;1,8
83731793;0,9333
83731794;1,6
83731795;1,2
83731796;0,8
83731861;1,4
83731952;1,1111
83732273;0,975
83732274;0,9916
83732337;1,7
83732338;2,3
83732339;0,6667
83732340;0,9
83732341;0,9
83732342;1,4
83732343;1,3
83732344;1,8
83732345;0,9333
83732346;0,8
83732347;1,2
83732348;1,6
83732349;0,8
83732350;1
83732351;0,7
83732352;0,7
83732354;1,1
83732358;1,6667
83732395;0,833
83732396;0,8
83732397;0,7
83732398;0,4333
83732399;0,4
83732400;0,45
83732410;0,8
83732411;1,2
83732412;1,06
83732413;1,6
83732414;2
83732415;0,7
83732419;0,6
83732420;0,8
83732462;1,45
83732547;0,975
83732586;0,7
83732587;1,3
83732588;1,1333
83732589;1,2
83732590;1,5
83732927;1,2
83733141;0,75
83733142;1,7
83733435;6,6778
83733470;0,6
83733471;0,75
83733472;1,1
83733473;0,9333
83733528;2,3
83733529;1,3
83733530;1,8
83733531;0,9333
83733532;1,6
83733533;1,2
83733534;0,8
83733608;0,8
83733609;1,2
83733610;1,06
83733611;1,6
83733612;2
83733613;0,7
83733614;0,6
83733615;0,6
83733616;0,7
83733617;1,3
83733619;1,2
83733620;1,5
83733621;0,6
83733622;0,75
83733623;1,1
83733624;0,9333
83733630;1,1333
83733669;1,6667
83733687;0,7778
83733775;1,6
83733776;1,8
83733777;2,3
83733828;7,0667
83733829;1,5
83733830;1,1333
83733831;2
83733882;0,833
83733883;0,8
83733884;0,7
83733885;0,4333
83733886;0,4
83733887;0,45
83733898;2,0417
83733903;2,4083
83733904;1,0638
83733951;1,6
83733952;2,15
83733973;1,9
83733974;1,55
83734111;2,7778
83734517;0,7
83734574;2,7611
83734576;2,4
83734577;2,295
83734775;1,7
83734776;2,3
83734777;0,6667
83734778;0,9
83734779;1,4
83734780;1,3
83734781;1,8
83734782;0,9333
83734783;0,8
83734784;1,2
83734785;1,6
83734786;0,8
83734787;1
83734788;0,7
83734789;0,7
83734790;1,1
83734791;0,75
83734809;2,075
83734813;2,4083
83734814;0,975
83734835;1,5
83734836;1,9
83734837;1,1
83734838;1,4
83734839;1,0667
83734917;2,4996
83734920;2,8333
83734957;1
83734958;0,8
83734959;1,4
83734966;1,1333
83735006;0,425
83735122;0,9138
83735123;2,4083
83735124;1,45
83735125;1,8
83735138;1,1
83735139;0,833
83735140;0,8
83735141;0,7
83735142;0,4333
83735143;0,4
83735144;0,425
83735153;1,5
83735154;1,9
83735155;1,4
83735156;1,0667
83735364;1
83735365;1,6667
83735366;2,5
83735367;1
83735368;1,6667
83735369;2,5
83735370;0,9
83735371;0,9
83735372;0,7556
83735373;1,1111
83735374;0,7778
83735375;0,6222
83735376;0,7111
83735377;0,5556
83735378;1,1111
83735379;0,8889
83735380;1,1111
83735384;6,9667
83735400;0,5556
83735401;1,1111
83735402;0,8889
83735403;1,1111
83735439;1,4
83735440;1,0667
83735441;1,9
83735443;1,8
83735444;1,2
83735445;0,8333
83735450;0,9333
83735454;0,875
83735459;0,875
83735460;0,9333
83735463;2,0666
83735542;0,3333
83735543;0,6667
83735613;1
83735614;1,4
83735615;0,8
83735616;1,1333
83735617;0,9333
83735620;0,875
83735631;1,5
83735632;1,9
83735636;0,8
83735637;1,06
83735638;0,7
83735639;0,7
83735640;1,3
83735641;0,6
83735642;0,6
83735643;0,75
83735644;0,6
83735645;1,1
83735716;1,1
83735717;1,4
83735718;1,0667
83735719;0,8333
83735917;1,8
83735918;1,2
83735924;1,6
83736024;0,933
83736025;0,5
83736091;1,6667
83736115;0,7832
83736186;0,975
83736201;2,0666
83736218;1,6
83736219;1,5
83736223;1,45
83736358;0,9138
83736445;2,0041
83736452;1,7
83736453;1,9
83736454;1,9
83736455;1,8
83736460;6,9001
83736481;1,75
83736482;2,7778
83736509;6,5999
83736530;2,0041
